FoodIdentificationNum,SpriteSet,SpriteNum,Name,Name_pt,Name_es,Description,Description_pt,Description_es,DefaultPrice,Hunger,Strength,Energy,Obedience,Enthusiasm,Mood,Calories,Weight,BMGauge,Seconds,Vaccine,Data,Virus,Health,Recovered,Cured,Healed,FatiguedRelieved,DepressedRelieved,FavFood,FavTime,NewPersonality,FavAttribute,Mistake,Type,Sleep,SleepLapse,Temp,GiftChance/100,ShopUnlocked,CanUnlock,DispositionChange,GluttonChange,RestlessChange,Proteins,Vitamins,Minerals,Glutton,Restless,Disposition,CanInc,CanDec,StartingQuantity,ShowInInventory,MaxUses,DefaultStockChance(SpringSummerFallWinter),DefaultMaxStock,DefaultMinStock,DefaultTimeAvailable(HtH;SpringSummerFallWinter),DefaultMustStock,UsesPerFood,DefaultSaleChance(SpringSummerFallWinter),DefaultSaleFactor,DefaultResellFactor,HealLapseChange,CureLapseChange,FatigueLapseChange,EvolProbChange,MaxHoursBeforeSleep,EffectID,Disturb,ListPriority,ChangeToPrefTemp,MissedDay,ForceUse,ForceUseWhenAsleep,FoodID,ItemID
45,0,176,Nuts,Nuts,Nuts,+Mood,+Mood,+Mood,50,1,0,0,0,0,10,2,0,4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Grain,FALSE,0,0,0,TRUE,TRUE,0,0,0,5,0,5,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
46,0,180,Oats,Oats,Oats,+Mood -Stress,+Mood -Stress,+Mood -Stress,75,1,0,0,0,1,10,3,0,4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Grain,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,5,5,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
47,0,184,Milk,Milk,Milk,+Mood -Stress,+Mood -Stress,+Mood -Stress,150,1,0,0,0,1,15,2,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Dairy,FALSE,0,0,0,TRUE,TRUE,0,0,0,5,0,5,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
48,0,188,Egg,Egg,Egg,+Mood,+Mood,+Mood,100,1,0,0,0,0,10,3,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Dairy,FALSE,0,0,0,TRUE,TRUE,0,0,0,8,1,1,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
49,0,192,Cheese,Cheese,Cheese,+Mood -Stress,+Mood -Stress,+Mood -Stress,200,1,0,0,0,1,30,4,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Dairy,FALSE,0,0,0,TRUE,TRUE,0,0,0,6,0,4,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
50,0,196,Guava,Guava,Guava,+Mood -Fatigue,+Mood -Fatigue,+Mood -Fatigue,100,1,0,0,0,0,20,2,0,4,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,None,None,None,None,0,Fruit,FALSE,0,0,0,TRUE,TRUE,0,0,0,4,6,0,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
51,0,200,Broccoli,Broccoli,Broccoli,-Mood +Obedience,-Mood +Obedience,-Mood +Obedience,100,1,0,0,2,0,-5,1,0,4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Veg,FALSE,0,0,0,TRUE,TRUE,0,0,0,0,3,7,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
52,0,204,Beans,Beans,Beans,+Obedience,+Obedience,+Obedience,150,1,0,0,1,0,5,2,0,4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Veg,FALSE,0,0,0,TRUE,TRUE,0,0,0,8,1,1,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
53,0,24,Salmon,Salmon,Salmon,+Mood -Stress,+Mood -Stress,+Mood -Stress,150,1,0,0,0,2,15,4,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Fish,FALSE,0,0,0,TRUE,TRUE,0,0,0,6,2,2,0,0,0,true,true,0,TRUE,99,100;100;100;100,30,15,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
54,0,208,Cookie,Cookie,Cookie,+Mood -Strength,+Mood -Strength,+Mood -Strength,0,1,-1,0,0,1,20,3,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Junk;Grain,FALSE,0,0,0,FALSE,FALSE,0,1,0,0,1,1,1,0,1,TRUE,TRUE,0,TRUE,99,0;0;0;0,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
55,0,212,Cupcake,Cupcake,Cupcake,+Mood -Stress -Strength,+Mood -Stress -Strength,+Mood -Stress -Strength,0,1,-1,0,0,5,25,4,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Junk;Grain,FALSE,0,0,0,FALSE,FALSE,0,1,0,0,1,1,1,0,1,TRUE,TRUE,0,TRUE,99,0;0;0;0,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
56,0,216,Burnt Food,Burnt Food,Burnt Food,-Mood +Stress +Obedience -Strength,-Mood +Stress +Obedience -Strength,-Mood +Stress +Obedience -Strength,0,1,-1,0,5,-1,-10,1,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,None,None,0,Junk,FALSE,0,0,0,FALSE,FALSE,0,1,0,0,0,0,0,0,1,TRUE,TRUE,0,TRUE,99,0;0;0;0,-1,-1,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,0,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
57,0,220,Cheese<br>burger,Cheese<br>burger,Cheese<br>burger,+Mood +Energy -Obedience,+Mood +Energy -Obedience,+Mood +Energy -Obedience,300,1,0,1,-1,2,20,5,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,None,None,None,None,0,Meat;Grain;Dairy,FALSE,0,0,0,TRUE,TRUE,0,1,0,7,1,2,0,0,0,true,true,0,TRUE,99,100;100;100;100,20,10,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,-1
58,0,224,Chocolate Egg,Chocolate Egg,Chocolate Egg,Toy Inside +Mood,Toy Inside +Mood,Toy Inside +Mood,300,1,0,0,0,1,15,3,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,None,None,None,None,0,Junk,FALSE,0,0,0,TRUE,TRUE,0,1,0,0,0,0,1,0,0,true,true,0,TRUE,99,100;100;100;100,20,10,0t23;0t23;0t23;0t23,false,1,1;1;1;1,2,10,0,0,0,0,-1,-1,TRUE,FALSE,FALSE,0,FALSE,FALSE,-1,68;69;70;71;72;73;74;75;76;77;78
